"Label (Grouping)","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Below poverty level!!Estimate","Maryland!!Below poverty level!!Margin of Error","Baltimore County, Maryland!!Total!!Estimate","Baltimore County, Maryland!!Total!!Margin of Error","Baltimore County, Maryland!!Below poverty level!!Estimate","Baltimore County, Maryland!!Below poverty level!!Margin of Error","Baltimore city, Maryland!!Total!!Estimate","Baltimore city, Maryland!!Total!!Margin of Error","Baltimore city, Maryland!!Below poverty level!!Estimate","Baltimore city, Maryland!!Below poverty level!!Margin of Error"
"        Two or more races","482,652","±16,023","56,637","±7,987","53,581","±6,446","8,484","±3,183","34,001","±4,740","6,745","±2,870"
"        Hispanic or Latino origin (of any race)","672,056","±2,089","102,608","±11,079","51,183","±736","9,015","±3,570","32,674","±638","8,542","±2,682"
"        White alone, not Hispanic or Latino","2,898,334","±7,443","191,526","±12,034","443,308","±2,882","36,042","±7,422","149,621","±2,683","17,887","±2,678"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"        Population 25 years and over","4,214,342","±4,004","364,870","±13,267","583,777","±1,039","46,178","±4,571","398,195","±2,543","75,264","±5,949"
"            Less than high school graduate","366,881","±10,854","78,095","±5,295","50,178","±4,312","8,060","±1,775","42,975","±3,340","17,104","±2,260"
"            High school graduate (includes equivalency)","993,895","±14,762","127,658","±7,111","145,517","±6,278","17,814","±2,579","105,007","±5,173","25,601","±3,329"
"            Some college, associate's degree","1,041,171","±15,420","94,213","±6,594","151,294","±6,632","11,302","±2,231","97,717","±5,388","22,442","±3,211"
"            Bachelor's degree or higher","1,812,395","±18,324","64,904","±5,288","236,788","±7,343","9,002","±1,845","152,496","±5,687","10,117","±2,027"
"    EMPLOYMENT STATUS","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","3,242,045","±19,968","171,161","±10,219","442,033","±5,858","22,422","±3,184","287,905","±5,789","30,531","±3,114"
"            Employed","3,050,607","±20,901","124,264","±8,219","415,933","±6,552","16,931","±2,723","265,306","±6,038","20,407","±2,633"
"                Male","1,555,699","±12,042","56,118","±5,358","207,162","±4,394","6,858","±1,840","125,327","±4,332","7,990","±1,812"
"                Female","1,494,908","±13,960","68,146","±5,259","208,771","±4,162","10,073","±1,820","139,979","±4,071","12,417","±1,824"
"            Unemployed","191,438","±8,428","46,897","±4,419","26,100","±3,028","5,491","±1,301","22,599","±2,911","10,124","±1,896"
"                Male","98,959","±6,148","20,829","±2,703","13,382","±2,028","2,596","±901","11,065","±2,093","4,579","±1,415"
"                Female","92,479","±5,307","26,068","±3,212","12,718","±2,037","2,895","±1,053","11,534","±2,098","5,545","±1,370"
"    WORK EXPERIENCE","","","","","","","","","","","",""
"        Population 16 years and over","4,842,470","±4,642","450,292","±16,878","666,948","±3,415","56,680","±5,499","451,030","±3,886","91,621","±7,136"
"            Worked full-time, year-round in the past 12 months","2,300,701","±20,734","36,336","±4,334","308,094","±7,261","4,090","±1,489","204,889","±5,970","5,881","±1,429"
"            Worked part-time or part-year in the past 12 months","1,021,521","±15,742","125,745","±8,679","140,954","±5,563","16,954","±2,659","83,492","±4,925","22,416","±2,668"
"            Did not work","1,520,248","±16,800","288,211","±12,198","217,900","±5,617","35,636","±4,053","162,649","±6,428","63,324","±6,039"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","",""
"        50 percent of poverty level","304,135","±17,003","(X)","(X)","38,512","±5,613","(X)","(X)","63,838","±9,570","(X)","(X)"
"        125 percent of poverty level","782,043","±27,796","(X)","(X)","109,036","±11,500","(X)","(X)","157,141","±10,336","(X)","(X)"
"        150 percent of poverty level","957,785","±27,639","(X)","(X)","131,934","±12,693","(X)","(X)","176,503","±10,981","(X)","(X)"
"        185 percent of poverty level","1,186,249","±32,940","(X)","(X)","168,238","±14,123","(X)","(X)","205,739","±11,811","(X)","(X)"
"        200 percent of poverty level","1,298,467","±34,217","(X)","(X)","188,652","±14,263","(X)","(X)","216,072","±12,265","(X)","(X)"
"        300 percent of poverty level","2,031,808","±34,966","(X)","(X)","303,198","±16,002","(X)","(X)","293,933","±11,615","(X)","(X)"
"        400 percent of poverty level","2,772,732","±33,910","(X)","(X)","405,377","±15,597","(X)","(X)","367,223","±9,645","(X)","(X)"
"        500 percent of poverty level","3,412,263","±33,264","(X)","(X)","499,425","±15,865","(X)","(X)","414,362","±8,830","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","1,131,626","±19,320","227,011","±8,845","160,630","±7,230","28,354","±2,935","175,588","±7,069","48,962","±4,595"
"    Male","534,776","±11,630","97,158","±5,988","73,918","±4,439","10,907","±1,918","84,640","±4,390","24,405","±3,003"
"    Female","596,850","±12,783","129,853","±6,284","86,712","±4,539","17,447","±2,339","90,948","±4,724","24,557","±2,973"
"    15 years","1,040","±558","1,040","±558","199","±253","199","±253","48","±79","48","±79"
"    16 to 17 years","3,506","±1,017","2,877","±897","172","±204","172","±204","382","±289","382","±289"
"    18 to 24 years","95,092","±7,140","34,152","±3,926","13,008","±2,836","4,768","±1,799","14,536","±2,190","5,278","±1,530"
"    25 to 34 years","237,961","±8,417","34,934","±3,565","32,206","±3,454","3,843","±1,244","48,482","±3,260","10,112","±1,859"
"    35 to 44 years","153,660","±7,608","25,425","±2,857","17,730","±2,446","3,649","±1,200","23,529","±2,750","4,719","±1,325"
"    45 to 54 years","139,826","±6,729","26,491","±2,769","17,731","±2,736","2,846","±1,069","19,307","±2,294","5,287","±1,364"
"    55 to 64 years","193,489","±5,911","44,092","±3,824","27,839","±2,246","4,684","±1,062","29,645","±2,387","10,632","±1,455"
"    65 to 74 years","168,526","±5,702","30,527","±2,860","27,084","±2,460","3,501","±952","24,346","±2,105","7,159","±1,392"
"    75 years and over","138,526","±3,909","27,473","±2,153","24,661","±2,270","4,692","±1,030","15,313","±1,552","5,345","±984"
"    Mean income deficit for unrelated individuals (dollars)","8,608","±173","(X)","(X)","8,646","±450","(X)","(X)","8,266","±461","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","540,359","±13,347","12,815","±2,370","73,175","±5,229","1,173","±678","82,974","±5,082","2,296","±1,014"
"    Worked less than full-time, year-round in the past 12 months","219,766","±9,239","59,804","±5,358","30,682","±3,211","8,346","±1,926","34,036","±3,571","12,158","±1,952"
"    Did not work","371,501","±8,728","154,392","±6,712","56,773","±3,446","18,835","±2,073","58,578","±4,816","34,508","±3,820"
"    Population in housing units for whom poverty status is determined","6,008,726","±3,519","608,650","±24,806","825,264","±3,301","79,662","±9,753","549,729","±4,019","125,129","±10,444"
