POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRIST CHURCH HARBOR APTS. INC.,600 LIGHT STREET,BALTIMORE,MD,21230,07,46,011,22001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH OF THE REDEEMED,4321 OLD YORK RD,BALTIMORE,MD,21212,07,43,004,9001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLINGTON SQUARE RECREATION CENTER,1409 N COLLINGTON AVE,BALTIMORE,MD,21213,07,45,013,8007,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CORNER COMMUNITY CENTER,5802 ROLAND AVE,BALTIMORE,MD,21210,03,41,005,27042,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATIVE CITY PUBLIC CHARTER SCH #384,2810 SHIRLEY AVE,BALTIMORE,MD,21215,07,40,006,15024   15025,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CROSS COUNTRY @ NORTHWESTERN (GYM),6900 PARK HEIGHTS AVE,BALTIMORE,MD,21215,03,41,005,27063   27065,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CURTIS BAY REC CTR,1630 FILBERT ST,BALTIMORE,MD,21226,02,46,010,25016,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DAWSON CENTER,1400 E FEDERAL ST,BALTIMORE,MD,21213,07,45,012,9015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWEESE REC CTR,5501 IVANHOE AVE,BALTIMORE,MD,21212,07,43,004,27034,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ELDERSLIE ST ANDREWS UMC,5601 PIMLICO RD,BALTIMORE,MD,21209,03,41,005,27050,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ELLA BAILEY RECREATION CENTER,100 E HEATH ST,BALTIMORE,MD,21230,03,46,011,23003    24004,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #13,405 MCMECHEN ST,BALTIMORE,MD,21217,07,44A,011,14003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #2,800 LIGHT ST,BALTIMORE,MD,21230,03,46,011,22002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #21,3724 ROLAND AVE,BALTIMORE,MD,21211,03,40,014,13002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #31,3123 GREENMOUNT AVE,BALTIMORE,MD,21218,07,43,014,9010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #42,4522 HARFORD RD,BALTIMORE,MD,21214,03,45,003,27003    27018,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #45,2700 GLEN AVE,BALTIMORE,MD,21215,03,41,005,27064,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #5,2120 EASTERN AVE,BALTIMORE,MD,21231,03,46,001,1002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #51,646 N HIGHLAND AVE,BALTIMORE,MD,21205,07,46,013,26012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #52,3525 WOODBROOK AVE,BALTIMORE,MD,21217,07,40,007,13006   15021,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #54,5821 BELAIR RD,BALTIMORE,MD,21206,02,45,002,26030   26031,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #56,6512 HARFORD RD,BALTIMORE,MD,21234,03,45,003,27009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINE HOUSE #58,2425 1/2 ANNAPOLIS RD,BALTIMORE,MD,21230,02,46,010,25007,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCH PRATT FREE LIBRARY BROOKLYN BRANCH,300 E PATAPSCO AVE,BALTIMORE,MD,21225,02,46,010,25013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCH PRATT FREE LIBRARY CANTON BRANCH,1030 S ELLWOOD AVE,BALTIMORE,MD,21224,03,46,001,1004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCH PRATT FREE LIBRARY CENTRAL BRANCH,400 CATHEDRAL ST,BALTIMORE,MD,21201,07,40,011,11006,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCH PRATT FREE LIBRARY HERRING RUN BRANCH,3801 ERDMAN AVE,BALTIMORE,MD,21213,07,45,013,26019,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCH PRATT FREE LIBRARY WAVERLY BRANCH,400 E 33RD ST,BALTIMORE,MD,21218,07,43,014,12004   12005,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCH PRATT LIBRARY PENNSYLVANIA AVE BRANCH,1531 W NORTH AVE AT PENNS,BALTIMORE,MD,21217,07,40,007,14005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ENOCH PRATT LIBRARY WALBROOK BRANCH,3203 W NORTH AVE,BALTIMORE,MD,21216,07,41,007,15012  15013,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST PARK SR CITIZEN CTR,4801 LIBERTY HGTS AVE,BALTIMORE,MD,21207,07,41,005,28005   28006,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FURLEY RECREATION CENTER,4633 FURLEY AVE,BALTIMORE,MD,21206,02,45,002,26025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVANS BOUNDARY UMC,5210 YORK RD,BALTIMORE,MD,21212,03,43,004,27038,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GRACE UNITED METHODIST CHURCH,5407 N CHARLES ST,BALTIMORE,MD,21210,03,43,004,27040    27041,2,,,,,,,,,,,,,,,,,,,,,,,,,,
HARFORD CTR FOR SR CITIZENS,4920 HARFORD RD,BALTIMORE,MD,21214,03,45,003,27004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
HARLEM PARK RECREATION CENTER,700 N CALHOUN ST,BALTIMORE,MD,21217,07,44A,009,16001   16002   16003   16004 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
HATTON SENIOR CITIZEN CTR,2825 FAIT  AVE,BALTIMORE,MD,21224,03,46,001,1005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHLANDTOWN ELEM/MIDDLE SCHOOL #237,231 S EATON STREET,BALTIMORE,MD,21224,03,46,002,26011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
HILTON REC CTR,2950 PHELPS LN,BALTIMORE,MD,21229,07,44A,009,20005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLY CROSS CHURCH HALL,108 E WEST ST,BALTIMORE,MD,21230,03,46,011,24002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
JERUSALEM EV LUTHERAN CHURCH,4605 BELAIR RD,BALTIMORE,MD,21206,02,45,002,26022   26023   27001,3,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSEPH LEE FIELDHOUSE,5900 E PRATT ST,BALTIMORE,MD,21224,03,46,001,26005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
KESWICK MULTI-CARE CTR,700 W 40TH ST,BALTIMORE,MD,21211,03,41,014,13001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LAKEVIEW TOWERS,727 DRUID PARK LAKE DR,BALTIMORE,MD,21217,07,40,007,13009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LATROBE HOMES,900 E MADISON ST,BALTIMORE,MD,21202,07,46,012,10003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMKO HOUSE,603 S ANN ST,BALTIMORE,MD,21231,03,46,001,02003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,2434 W BELVEDERE AVE,BALTIMORE,MD,21215,07,41,005,27051,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY GRACE CHURCH OF GOD,3400 COPLEY RD,BALTIMORE,MD,21215,07,41,006,15008,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHTHOUSE WORSHIP CENTER,2931 E MADISON ST,BALTIMORE,MD,21205,07,45,013,7004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LILLIAN JONES RECREATION CENTER,1310 N STRICKER ST,BALTIMORE,MD,21217,07,40,007,15018   16005,2,,,,,,,,,,,,,,,,,,,,,,,,,,
MARY E RODMAN REC CTR,3600 W MULBERRY ST,BALTIMORE,MD,21229,07,41,008,20006,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDFIELD HEIGHTS RECREATION CENTER,1501 WOODHEIGHTS AVE,BALTIMORE,MD,21211,03,40,007,13004  27047,2,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,900 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,07,43,004,27028   27029  27033  27035,4,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTE VERDE APARTMENTS,2503 VIOLET AVE,BALTIMORE,MD,21215,07,40,006,15022,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MT ROYAL RECREATION CTR,120 W MOSHER ST,BALTIMORE,MD,21217,07,40,011,14001    14002 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
MT WASHINGTON LOWER SCHOOL #221,5800 SMITH AVE,BALTIMORE,MD,21209,03,41,005,27049,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MURTY CTR-POE AUDITORIUM,206 N FREMONT AVE,BALTIMORE,MD,21201,07,40,011,04003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW WATERS TOWER APARTMENTS,1400 E MADISON ST,BALTIMORE,MD,21205,07,45,012,10002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH HARFORD REC CTR,6800 HAMLET AVE,BALTIMORE,MD,21234,03,43,003,27012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHSIDE BAPTIST CHURCH,1100 E NORTHERN PKWY,BALTIMORE,MD,21239,03,43,004,27032,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHWOOD APPOLD COMM ACADEMY,4417 LOCH RAVEN BLVD,BALTIMORE,MD,21218,07,43,003,27025,1,,,,,,,,,,,,,,,,,,,,,,,,,,
OPEN BIBLE BAPTIST CHURCH,3902 OVERLEA AVE,BALTIMORE,MD,21206,03,45,002,27010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCHARD RIDGE III COMMUNITY ROOM,4340 ORCHARD RIDGE BLVD,BALTIMORE,MD,21213,03,45,013,26017,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKVIEW RECREATION CENTER,2610 FRANCIS ST,BALTIMORE,MD,21217,07,40,007,13007,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEASANT VIEW GARDEN APARTMENTS,201 N AISQUITH ST,BALTIMORE,MD,21202,07,46,012,05001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBLIC SAFETY TRAINING CENTER,3500 W NORTHERN PKWY  - ENTER ON MANHATTAN AVE ,BALTIMORE,MD,21215,07,41,005,27059   27060,2,,,,,,,,,,,,,,,,,,,,,,,,,,
RAY OF HOPE BAPTIST CHURCH,3000 PARKSIDE DR,BALTIMORE,MD,21214,03,45,003,27002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
REACH PARTNERSHIP  - COMM SPACE,2555 HARFORD ROAD,BALTIMORE,MD,21218,07,43,014,09008   09012,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ROOSEVELT RECREATION CENTER,1221 W 36TH ST,BALTIMORE,MD,21211,03,40,007,13003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSCOMBE GARDEN APTS,4800 YELLOWWOOD AVE,BALTIMORE,MD,21209,07,41,006,27048,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #10 MCHENRY ELEM,31 S SCHROEDER ST,BALTIMORE,MD,21223,07,40,009,18002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #105 MORAVIA PARK ELEM,6001 FRANKFORD AVE,BALTIMORE,MD,21206,02,45,002,26015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #11 EUTAW-MARSHBURN ELEM,1624 EUTAW PL,BALTIMORE,MD,21217,07,44A,011,14004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #12 LAKELAND ELEM/MID,2921  STRANDEN RD (REC CTR),BALTIMORE,MD,21230,02,46,010,25005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #122 - SAMUEL COLERIDGE-TAYLOR ELEM,507 W PRESTON ST - ENTER ON DRUID HILL AVE,BALTIMORE,MD,21201,07,44A,011,11004   17001   17002,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #13 TENCH TILGHMAN ELEM,600 N PATTERSON PARK AVE,BALTIMORE,MD,21205,07,45,013,07002   07003,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #145 HAMILTON ELEM,800 POPLAR GROVE ST,BALTIMORE,MD,21216,07,40,009,16009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #15 STADIUM SCHOOL ,1400 EXETER HALL AVE,BALTIMORE,MD,21218,07,43,014,09009   09011  ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #150  MARY ANN WINTERLING ELEM,220 N BENTALOU ST,BALTIMORE,MD,21223,07,44A,009,20001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #159 CHERRY HILL ELEM,801 BRIDGEVIEW ROAD,BALTIMORE,MD,21225,02,46,010,25009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #16 JOHNSTON SQ ELEM,1101 VALLEY ST,BALTIMORE,MD,21202,07,45,012,10001   10004,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #164 ARUNDEL ELEM,2400 ROUND RD,BALTIMORE,MD,21225,02,46,010,25008,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #177 GEORGE MCMECHEN JR/SR,4411 GARRISON BLVD,BALTIMORE,MD,21215,07,41,006,15001   28003,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #178 FRANCIS M. WOOD ALTERNATIVE HIGH,1001 W SARATOGA ST,BALTIMORE,MD,21223,07,40,009,18001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #201 DICKEY HILL ELEM,5025 DICKEY HILL RD,BALTIMORE,MD,21207,07,41,008,28009,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #203 MARIE FARRING ELEM,300 PONTIAC AVE,BALTIMORE,MD,21225,02,46,010,25011   25012,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #21 HILTON ELEM,3301 CARLISLE AVE,BALTIMORE,MD,21216,07,41,007,15007,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #210 HAZELWOOD ELEM,4517 HAZELWOOD AVE,BALTIMORE,MD,21206,02,45,002,26027  26028   26029 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #211 GARDENVILLE ELEM,5300 BELAIR RD,BALTIMORE,MD,21206,02,45,002,26026   27006,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #212 GARRETT HGTS ELEM,2800 AILSA AVE,BALTIMORE,MD,21214,07,43,003,27016   27017,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #214 GUILFORD MIDDLE,4520 YORK RD,BALTIMORE,MD,21212,07,43,004,27036   27037,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #215 HIGHLANDTOWN ELEM,3223 E PRATT ST,BALTIMORE,MD,21224,03,46,001,26010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #217 BELMONT ELEM,1406 N ELLAMONT ST,BALTIMORE,MD,21216,07,40,009,16012,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #219 YORKWOOD ELEM,5931 YORKWOOD RD,BALTIMORE,MD,21239,07,43,004,27019   27021,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #22 GEORGE WASHINGTON ELEM,800 SCOTT ST,BALTIMORE,MD,21230,03,40,011,21001  21002   21004,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #220 MORRELL PARK ELEM/MID,2601 TOLLEY ST,BALTIMORE,MD,21230,03,40,010,25004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #223 PIMLICO ELEM,4849 PIMLICO ROAD,BALTIMORE,MD,21215,07,41,006,27052   57058,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #224 GROVE PARK ELEM,5545 KENNISON AVE,BALTIMORE,MD,21215,07,41,005,28002   28004 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #225 WESTPORT ELEM,2401 NEVADA ST,BALTIMORE,MD,21230,02,46,010,25006,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #226 VIOLETVILLE ELEM/MID,1207 PINE HGTS AVE,BALTIMORE,MD,21229,03,40,010,25003   25017  25018 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #23 GENERAL WOLFE ELEM,245 S WOLFE ST,BALTIMORE,MD,21231,03,46,013,02001   02002,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #231 BREHMS LANE ELEM,3536 BREHMS LN,BALTIMORE,MD,21213,07,45,013,26020   26021 26032 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #232 THOMAS JEFFERSON ELEM,605 DRYDEN DR,BALTIMORE,MD,21229,07,41,008,28010   28011  28012 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #233 ROLAND PARK MIDDLE,5207 ROLAND AVE,BALTIMORE,MD,21210,03,41,006,27044,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #235 GLENMOUNT ELEM/MID,6211 WALTHER AVE,BALTIMORE,MD,21206,02,45,002,27007   27008 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #236  HAMILTON ELEM/MID,6101 OLD  HARFORD RD,BALTIMORE,MD,21214,07,45,003,27014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #239 MASONVILLE COVE @ BEN FRANKLIN,1201 CAMBRIA ST,BALTIMORE,MD,21225,02,46,010,25015,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #240 GRACELAND PARK ELEM,6300 ODONNELL ST,BALTIMORE,MD,21224,02,46,001,26002   26003,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #241 FALLSTAFF MIDDLE,3801 FALLSTAFF RD,BALTIMORE,MD,21215,03,41,005,27067   28001,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #242 NORTHWOOD ELEM,5201 LOCH RAVEN BLVD,BALTIMORE,MD,21239,07,43,003,27022  27023  27024  27030,4,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #245 LEITH WALK ELEM SCH,1235 SHERWOOD AVENUE,BALTIMORE,MD,21239,03,43,004,27020   27031 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #246 ANNEX BEECHFIELD ELEM,301 S BEECHFIELD AVE,BALTIMORE,MD,21229,07,44A,008,28014,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #246 BEECHFIELD ELEM,301 S BEECHFIELD AVE,BALTIMORE,MD,21229,07,44A,008,25001   25002,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #248 SINCLAIR LANE ELEM,3880 SINCLAIR LN,BALTIMORE,MD,21213,03,45,013,26018  26033,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #250 DR. BERNARD HARRIS SR ELEM,1400 N CAROLINE ST,BALTIMORE,MD,21213,07,45,012,08006,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #251 CALLAWAY ELEM,3701 FERNHILL AVE,BALTIMORE,MD,21215,07,41,006,15003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #254 DR MARTIN L KING JR ELEM,3750 GREENSPRING AVE,BALTIMORE,MD,21211,07,40,006,15023,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #260 FREDERICK ELEM,2501 FREDERICK AVENUE,BALTIMORE,MD,21223,07,44A,009,20003  20009  20010 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #262 EMPOWERMENT ACADEMY ELEM SCH 262,851 BRADDISH AVE,BALTIMORE,MD,21216,07,40,009,16006   16007  16008   16010  ,4,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #27 COMMODORE RODGERS ELEM,100 N CHESTER ST,BALTIMORE,MD,21231,07,46,013,06002  06003   06004,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #28 SANDTOWN-WINCHESTER ACHIEV ACAD,701 GOLD ST,BALTIMORE,MD,21217,07,44A,007,15019,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #29 HENSON ELEM,1600 N PAYSON ST,BALTIMORE,MD,21217,07,40,007,15017,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #34 CHARLES CARROLL ELEM,1327 WASHINGTON BLVD,BALTIMORE,MD,21230,03,40,010,21003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #346 CITY NEIGHBORS HAMILTON,5609 SEFTON  AVE - REAR,BALTIMORE,MD,21214,03,45,003,27005,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #37 HARFORD HGTS PRIMARY,1919 N BROADWAY,BALTIMORE,MD,21213,07,45,014,08004   08005,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #374 VANGUARD COLLEGIATE MIDDLE,5000 TRUESDALE AVE,BALTIMORE,MD,21206,02,45,002,26016   26024 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #375 BALTIMORE COLLEGIATE SCH FOR BOYS,2500 E NORTHERN PKWY,BALTIMORE,MD,21214,03,43,003,27013,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #39 DALLAS F. NICHOLAS SR ELEM,201 E 21ST ST,BALTIMORE,MD,21218,07,43,012,12011,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #4 STEUART HILL ELEM,30 S GILMOR ST,BALTIMORE,MD,21223,07,40,009,19002   19003  20002,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #401 NORTHWESTERN SR HIGH,6900 PARK HEIGHTS AVE,BALTIMORE,MD,21215,07,41,005,2706  27062  27066,3,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #405  PATTERSON SR HIGH,100 KANE ST,BALTIMORE,MD,21224,02,46,001,26004,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #406 FOREST PARK SENIOR HIGH,3701 ELDORADO AVE,BALTIMORE,MD,21207,07,41,006,15002,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #407  WESTERN HIGH,4600 FALLS RD,BALTIMORE,MD,21209,03,41,006,27043,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #410 MERVO TECH HIGH,3500 HILLEN RD - ENTRANCE TIVOLY AVE,BALTIMORE,MD,21218,07,43,014,09005  09006 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #414 PAUL DUNBAR HIGH SCH,1400 ORLEANS STREET - MAIN ENTRANCE,BALTIMORE,MD,21231,07,45,012,05002  07001 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #416 DIGITAL HARBOR HIGH,1100 COVINGTON ST,BALTIMORE,MD,21230,03,46,011,24003,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #422  NEW ERA SCHOOL,2700 SEAMON AVE,BALTIMORE,MD,21225,02,46,010,25010,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #44 MONTEBELLO ELEM,2040 E 32ND ST,BALTIMORE,MD,21218,07,43,014,09007,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #45 FEDERAL HILL ELEM,1040 WILLIAM ST,BALTIMORE,MD,21230,03,46,011,24001,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #450 FREDERICK DOUGLASS HIGH SCH,2301 GWYNNS FALLS PKWY,BALTIMORE,MD,21217,07,40,007,15020,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #454 CARVER VOC-TECH HIGH,2201 PRESSTMAN ST,BALTIMORE,MD,21216,07,40,007,15015   15016 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #47 HAMPSTEAD HILL ELEM,500 S LINWOOD AVE,BALTIMORE,MD,21224,03,46,001,01001  01003,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #5  LANGSTON HUGHES ELEM,5011 ARBUTUS AVE,BALTIMORE,MD,21215,07,41,006,27055,1,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #51 WAVERLY ELEM,3400 ELLERSLIE AVE-ENTRANCE 34TH ST,BALTIMORE,MD,21218,07,43,014,09003   09004,2,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHOOL #53 BRENT ELEM,100 E 26TH ST,BALTIMORE,MD,21218,07,43,012,12008   12010,2,,,,,,,,,,,,,,,,,,,,,,,,,,
