Table with row headers in column A and column headers in rows 4 through 6 and 69 through 71 and 134 through 136.,,,,,,,,,,,,,,,,,,,
"Table A-5.  Reported Voting and Registration for Total and Citizen Voting-Age Population, by State for Presidential Elections:  1972-2020",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
State,Voting Rates,,,,,,,,,,,,,,,,,,
,2020,,2016,,2012,,2008,,2004,,,,,,,,,,
Tennessee,63.3,66.4,52.0,54.0,53.7,55.7,53.6,55.5,52.7,54.6,,,,,,,,,
Texas,55.3,63.9,47.7,55.4,46.4,53.8,48.8,56.1,50.3,57.1,,,,,,,,,
Utah ,59.7,63.6,58.9,62.7,53.3,57.0,50.5,53.1,62.8,67.8,,,,,,,,,
Vermont,67.5,68.4,61.0,62.5,62.1,63.3,63.2,64.7,65.4,67.3,,,,,,,,,
Virginia,66.0,71.5,62.6,68.2,62.0,66.9,63.8,68.7,58.4,63.1,,,,,,,,,
Washington,64.3,71.5,60.5,66.3,60.7,65.6,62.6,66.8,62.0,67.6,,,,,,,,,
West Virginia,55.3,56.1,50.4,50.8,47.5,47.8,53.1,53.4,57.2,57.2,,,,,,,,,
Wisconsin,71.7,73.6,68.7,70.5,71.9,73.6,68.5,71.2,73.0,76.6,,,,,,,,,
Wyoming,64.1,65.5,63.5,64.8,57.8,58.9,62.9,64.3,66.3,66.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note: Data for 1976 show the 25 largest states and data for 1972 show the largest 15 states.  Data are limited  to the largest states in 1976 and 1972 due to smaller sample sizes. ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note: Data are not available prior to 1972.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Prior to 1996, the CPS did not collect information on citizenship in a uniform way. Estimates for the citizenship population presented in this table prior to 1996 should be interpreted with caution, as they are not directly comparable to estimates from 1996 and after.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 1972-2020",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table A-5.  Reported Voting and Registration for Total and Citizen Voting-Age Population, by State for Presidential Elections:  1972-2020 (Continued)",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
State,Voting Rates,,,,,,,,,,,,,,,,,,
,2000,,1996,,1992,,1988,,1984,,,,,,,,,,
,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alabama,59.6,60.4,55.6,56.3,63.6,64.4,56.9,57.6,60.8,62.3,,,,,,,,,
Alaska,65.5,67.7,59.5,60.5,68.6,74.0,59.4,63.9,59.1,63.4,,,,,,,,,
Arizona,46.7,52.5,47.3,54.3,64.7,69.7,54.0,57.8,54.0,58.1,,,,,,,,,
Arkansas,49.4,50.5,51.5,51.9,58.0,60.5,55.8,57.2,60.3,61.2,,,,,,,,,
California,46.4,57.9,48.4,61.3,52.8,70.1,51.7,64.8,55.7,68.0,,,,,,,,,
Colorado,53.6,57.2,58.8,61.1,68.8,72.7,65.4,69.1,60.5,64.4,,,,,,,,,
Connecticut,55.2,59.5,58.5,62.3,71.7,78.8,63.9,69.2,64.2,68.6,,,,,,,,,
Delaware,62.2,64.8,54.7,56.1,66.1,71.1,58.7,61.4,58.9,64.9,,,,,,,,,
District of Columbia,65.6,71.7,59.6,63.5,66.1,72.5,52.7,57.9,54.0,63.2,,,,,,,,,
Florida,51.6,59.6,50.7,56.4,55.8,63.5,54.5,60.8,53.3,59.2,,,,,,,,,
Georgia,49.0,50.9,49.6,50.9,54.1,57.3,49.6,51.7,52.4,55.7,,,,,,,,,
Hawaii,39.7,44.1,43.1,47.4,55.2,61.8,54.7,60.3,54.5,61.5,,,,,,,,,
Idaho,53.9,56.1,60.1,62.0,66.9,70.8,63.9,67.1,67.5,71.2,,,,,,,,,
Illinois,56.8,62.0,55.6,59.1,65.1,72.3,60.7,65.8,66.9,73.6,,,,,,,,,
Indiana,58.5,59.6,55.8,56.5,63.0,64.4,60.3,62.5,62.3,64.0,,,,,,,,,
Iowa,64.1,67.4,61.1,63.0,70.8,72.8,63.6,64.9,68.6,70.1,,,,,,,,,
Kansas,60.2,61.7,62.0,63.4,71.9,73.8,60.6,62.8,63.3,66.2,,,,,,,,,
Kentucky,54.9,56.4,52.8,53.0,57.6,61.4,49.7,50.9,59.0,60.6,,,,,,,,,
Louisiana,64.6,65.7,61.8,62.7,68.6,71.0,65.2,67.2,64.9,68.3,,,,,,,,,
Maine,69.2,70.1,67.7,69.4,74.1,76.7,66.7,68.5,68.7,71.9,,,,,,,,,
Maryland,57.1,61.1,54.4,57.1,66.4,71.7,54.8,59.7,60.0,64.7,,,,,,,,,
Massachusetts,60.1,65.3,56.3,60.7,65.8,73.8,63.6,68.3,60.9,67.3,,,,,,,,,
Michigan,60.1,62.4,58.1,59.9,65.9,71.0,59.5,64.8,62.3,66.6,,,,,,,,,
Minnesota,67.8,69.8,66.9,68.9,74.2,78.3,69.7,74.4,75.6,78.0,,,,,,,,,
Mississippi,59.8,60.6,55.1,55.5,66.7,68.0,62.6,64.1,69.3,71.2,,,,,,,,,
Missouri,65.4,66.7,61.1,61.6,66.2,68.3,64.5,66.2,65.5,67.7,,,,,,,,,
Montana,62.2,62.9,67.3,68.1,71.4,73.4,68.6,69.7,70.8,74.0,,,,,,,,,
Nebraska,58.9,60.3,61.0,62.7,66.1,67.6,63.4,65.7,62.7,65.4,,,,,,,,,
Nevada,46.5,52.1,47.8,53.3,58.1,64.5,46.9,50.7,46.1,51.7,,,,,,,,,
New Hampshire,63.3,66.6,60.1,61.0,64.6,67.6,58.0,59.8,59.7,61.7,,,,,,,,,
New Jersey,55.2,61.8,54.7,60.5,61.2,69.9,59.5,65.1,60.9,67.1,,,,,,,,,
New Mexico,51.3,54.4,51.7,55.5,62.6,66.6,54.5,59.3,61.7,64.8,,,,,,,,,
New York,51.0,59.0,50.9,58.7,56.8,67.7,54.0,61.9,57.8,65.9,,,,,,,,,
North Carolina,53.2,56.1,54.0,55.5,60.0,62.6,52.9,54.9,56.5,57.9,,,,,,,,,
North Dakota,69.8,70.4,65.8,66.1,71.1,72.8,73.2,74.6,71.0,72.9,,,,,,,,,
Ohio,58.1,59.2,58.7,59.6,64.3,69.0,62.1,64.3,62.3,64.7,,,,,,,,,
Oklahoma,58.3,59.6,58.5,59.2,67.5,70.5,55.6,57.5,59.7,62.6,,,,,,,,,
Oregon,60.8,66.6,61.1,63.6,69.1,73.9,63.8,66.1,67.0,71.1,,,,,,,,,
Pennsylvania,55.7,57.4,55.0,56.4,59.9,62.1,54.8,56.9,58.6,61.4,,,,,,,,,
Rhode Island ,60.1,63.5,60.6,64.3,69.0,75.1,60.7,68.2,62.7,69.5,,,,,,,,,
South Carolina,58.9,59.5,54.5,54.7,58.0,59.3,49.2,50.5,48.6,50.4,,,,,,,,,
South Dakota,58.7,59.2,64.3,64.8,70.2,71.8,72.0,73.3,68.4,70.1,,,,,,,,,
Tennessee,52.3,53.7,53.1,53.6,55.6,56.8,51.4,52.4,58.0,59.3,,,,,,,,,
Texas,48.2,54.1,46.2,51.5,55.6,62.3,53.9,59.2,54.4,59.4,,,,,,,,,
Utah ,56.3,60.2,53.0,55.5,72.3,75.8,69.8,72.9,71.3,74.1,,,,,,,,,
Vermont,63.3,64.2,59.5,60.4,68.6,73.4,64.0,66.3,61.1,64.5,,,,,,,,,
Virginia,57.2,60.3,56.4,58.4,61.2,64.3,58.0,60.5,56.6,59.7,,,,,,,,,
Washington,58.6,62.0,60.0,62.3,66.3,70.3,61.9,64.6,64.5,69.5,,,,,,,,,
West Virginia,52.1,52.4,50.2,50.6,57.3,58.5,52.7,53.8,59.1,60.5,,,,,,,,,
Wisconsin,67.8,70.1,62.4,64.8,75.3,77.0,70.2,71.3,71.5,73.6,,,,,,,,,
Wyoming,62.5,62.9,66.2,66.7,64.2,66.5,61.7,63.8,66.3,68.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note: Data for 1976 show the 25 largest states and data for 1972 show the largest 15 states.  Data are limited  to the largest states in 1976 and 1972 due to smaller sample sizes. ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note: Data are not available prior to 1972.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Prior to 1996, the CPS did not collect information on citizenship in a uniform way. Estimates for the citizenship population presented in this table prior to 1996 should be interpreted with caution, as they are not directly comparable to estimates from 1996 and after.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 1972-2020",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table A-5.  Reported Voting and Registration for Total and Citizen Voting-Age Population, by State for Presidential Elections:  1972-2020 (Continued)",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
State,Voting Rates,,,,,,,,,,,,,,,,,,
,1980,,1976,1972,,,,,,,,,,,,,,,
,Total,Citizen,Total,Total,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alabama,56.4,57.3,54.6,NA,,,,,,,,,,,,,,,
Alaska,56.8,62.6,NA,NA,,,,,,,,,,,,,,,
Arizona,53.5,57.8,NA,NA,,,,,,,,,,,,,,,
Arkansas,57.2,58.6,NA,NA,,,,,,,,,,,,,,,
California,53.8,64.9,54.8,66.0,,,,,,,,,,,,,,,
Colorado,63.4,67.0,NA,NA,,,,,,,,,,,,,,,
Connecticut,67.6,72.9,64.4,NA,,,,,,,,,,,,,,,
Delaware,60.4,62.9,NA,NA,,,,,,,,,,,,,,,
District of Columbia,48.9,53.5,NA,NA,,,,,,,,,,,,,,,
Florida,55.5,61.2,54.7,59.0,,,,,,,,,,,,,,,
Georgia,53.5,55.0,54.1,49.2,,,,,,,,,,,,,,,
Hawaii,55.9,63.5,NA,NA,,,,,,,,,,,,,,,
Idaho,70.1,74.8,NA,NA,,,,,,,,,,,,,,,
Illinois,66.4,72.0,65.6,71.1,,,,,,,,,,,,,,,
Indiana,61.6,63.9,64.8,68.9,,,,,,,,,,,,,,,
Iowa,67.7,69.9,67.6,NA,,,,,,,,,,,,,,,
Kansas,63.6,65.8,NA,NA,,,,,,,,,,,,,,,
Kentucky,56.9,58.3,55.6,NA,,,,,,,,,,,,,,,
Louisiana,63.9,66.1,59.9,NA,,,,,,,,,,,,,,,
Maine,68.2,71.8,NA,NA,,,,,,,,,,,,,,,
Maryland,58.6,62.6,58.7,NA,,,,,,,,,,,,,,,
Massachusetts,65.6,71.4,68.9,68.7,,,,,,,,,,,,,,,
Michigan,64.1,69.5,64.0,65.1,,,,,,,,,,,,,,,
Minnesota,73.3,76.3,75.4,NA,,,,,,,,,,,,,,,
Mississippi,67.3,68.5,NA,NA,,,,,,,,,,,,,,,
Missouri,67.3,70.0,63.1,65.4,,,,,,,,,,,,,,,
Montana,67.6,71.0,NA,NA,,,,,,,,,,,,,,,
Nebraska,63.3,66.1,NA,NA,,,,,,,,,,,,,,,
Nevada,49.3,54.8,NA,NA,,,,,,,,,,,,,,,
New Hampshire,68.2,70.5,NA,NA,,,,,,,,,,,,,,,
New Jersey,59.6,65.7,59.1,66.7,,,,,,,,,,,,,,,
New Mexico,58.8,61.9,NA,NA,,,,,,,,,,,,,,,
New York,54.8,62.5,56.4,63.5,,,,,,,,,,,,,,,
North Carolina,52.2,54.3,48.7,49.0,,,,,,,,,,,,,,,
North Dakota,71.9,74.1,NA,NA,,,,,,,,,,,,,,,
Ohio,60.7,63.8,59.5,65.6,,,,,,,,,,,,,,,
Oklahoma,59.4,62.9,NA,NA,,,,,,,,,,,,,,,
Oregon,65.9,71.9,NA,NA,,,,,,,,,,,,,,,
Pennsylvania,54.9,57.9,57.3,61.0,,,,,,,,,,,,,,,
Rhode Island ,64.7,71.1,NA,NA,,,,,,,,,,,,,,,
South Carolina,51.4,52.6,NA,NA,,,,,,,,,,,,,,,
South Dakota,74.5,77.0,NA,NA,,,,,,,,,,,,,,,
Tennessee,56.7,58.2,55.2,NA,,,,,,,,,,,,,,,
Texas,51.1,55.9,53.2,55.0,,,,,,,,,,,,,,,
Utah ,72.2,74.5,NA,NA,,,,,,,,,,,,,,,
Vermont,61.3,63.9,NA,NA,,,,,,,,,,,,,,,
Virginia,55.2,57.6,55.2,49.3,,,,,,,,,,,,,,,
Washington,61.2,67.9,64.4,NA,,,,,,,,,,,,,,,
West Virginia,58.4,59.9,NA,NA,,,,,,,,,,,,,,,
Wisconsin,74.5,77.3,72.4,NA,,,,,,,,,,,,,,,
Wyoming,59.4,62.1,NA,NA,,,,,,,,,,,,,,,
Note:  NA Not available.,,,,,,,,,,,,,,,,,,,
Note: Data for 1976 show the 25 largest states and data for 1972 show the largest 15 states.  Data are limited  to the largest states in 1976 and 1972 due to smaller sample sizes. ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note: Data are not available prior to 1972.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Prior to 1996, the CPS did not collect information on citizenship in a uniform way. Estimates for the citizenship population presented in this table prior to 1996 should be interpreted with caution, as they are not directly comparable to estimates from 1996 and after.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www.census.gov/programs-surveys/cps/technical-documentation/complete.2020.html",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 1972-2020",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
