POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,897 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,7,43,4,27-028,,39.354565,-76.602451,1,range_interpolation,897,Woodbourne Ave,,,Baltimore,MD,Baltimore City,21212,US,TIGER/Line® dataset from the US Census Bureau
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,898 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,7,43,4,27-029,,39.354858,-76.602387,1,range_interpolation,898,Woodbourne Ave,,,Baltimore,MD,Baltimore City,21212,US,TIGER/Line® dataset from the US Census Bureau
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,899 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,7,43,4,27-033,,39.354562,-76.602431,1,range_interpolation,899,Woodbourne Ave,,,Baltimore,MD,Baltimore City,21212,US,TIGER/Line® dataset from the US Census Bureau
MEDFIELD/GOVANS ELEM @ CHINQUAPIN ,900 WOODBOURNE AVE AT TUNBRIDGE,BALTIMORE,MD,21212,7,43,4,27-035,4,39.354873,-76.601557,1,rooftop,900,Woodbourne Ave,,,Baltimore,MD,Baltimore City,21212,US,City of Baltimore (City of Baltimore)
MONTE VERDE APARTMENTS,2503 VIOLET AVE,BALTIMORE,MD,21215,7,40,6,15-022,1,39.33128,-76.657942,1,range_interpolation,2503,Violet Ave,,,Baltimore,MD,Baltimore City,21215,US,TIGER/Line® dataset from the US Census Bureau
MT ROYAL RECREATION CTR,119 W MOSHER ST,BALTIMORE,MD,21217,7,40,11,14-001,,39.308444,-76.623642,1,range_interpolation,119,W Mosher St,,,Baltimore,MD,Baltimore City,21217,US,TIGER/Line® dataset from the US Census Bureau
MT ROYAL RECREATION CTR,120 W MOSHER ST,BALTIMORE,MD,21217,7,40,11,14-002,2,39.308961,-76.623379,1,range_interpolation,120,W Mosher St,,,Baltimore,MD,Baltimore City,21217,US,TIGER/Line® dataset from the US Census Bureau
MT WASHINGTON LOWER SCHOOL #221,5800 SMITH AVE,BALTIMORE,MD,21209,3,41,5,27-049,1,39.369843,-76.656752,0.9,range_interpolation,5800,Smith Ave,,,Baltimore,MD,Baltimore City,21209,US,TIGER/Line® dataset from the US Census Bureau
MURTY CTR-POE AUDITORIUM,206 N FREMONT AVE,BALTIMORE,MD,21201,7,40,11,04-003,1,39.291822,-76.631143,1,rooftop,206,N Fremont Ave,,,Baltimore,MD,Baltimore City,21201,US,City of Baltimore (City of Baltimore)
NEW WATERS TOWER APARTMENTS,1400 E MADISON ST,BALTIMORE,MD,21205,7,45,12,10-002,1,39.299413,-76.598431,1,rooftop,1400,E Madison St,,,Baltimore,MD,Baltimore City,21205,US,City of Baltimore (City of Baltimore)
NORTH HARFORD REC CTR,6800 HAMLET AVE,BALTIMORE,MD,21234,3,43,3,27-012,1,39.367551,-76.55909,1,rooftop,6800,Hamlet Ave,,,Parkville,MD,Baltimore City,21234,US,City of Baltimore (City of Baltimore)
NORTHSIDE BAPTIST CHURCH,1100 E NORTHERN PKWY,BALTIMORE,MD,21239,3,43,4,27-032,1,39.366929,-76.597137,1,rooftop,1100,E Northern Pkwy,,,Baltimore,MD,Baltimore City,21239,US,City of Baltimore (City of Baltimore)
NORTHWOOD APPOLD COMM ACADEMY,4417 LOCH RAVEN BLVD,BALTIMORE,MD,21218,7,43,3,27-025,1,39.345648,-76.591846,1,rooftop,4417,Loch Raven Blvd,,,Baltimore,MD,Baltimore City,21218,US,City of Baltimore (City of Baltimore)
OPEN BIBLE BAPTIST CHURCH,3902 OVERLEA AVE,BALTIMORE,MD,21206,3,45,2,27-010,1,39.358313,-76.532637,1,rooftop,3902,Overlea Ave,,,Baltimore,MD,Baltimore City,21206,US,City of Baltimore (City of Baltimore)
ORCHARD RIDGE III COMMUNITY ROOM,4340 ORCHARD RIDGE BLVD,BALTIMORE,MD,21213,3,45,13,26-017,1,39.312037,-76.559338,1,rooftop,4340,Orchard Ridge Blvd,,,Baltimore,MD,Baltimore City,21213,US,City of Baltimore (City of Baltimore)
PARKVIEW RECREATION CENTER,2610 FRANCIS ST,BALTIMORE,MD,21217,7,40,7,13-007,1,39.314052,-76.643992,1,rooftop,2610,Francis St,,,Baltimore,MD,Baltimore City,21217,US,City of Baltimore (City of Baltimore)
PLEASANT VIEW GARDEN APARTMENTS,201 N AISQUITH ST,BALTIMORE,MD,21202,7,46,12,05-001,1,39.293588,-76.60113,1,rooftop,201,N Aisquith St,,,Baltimore,MD,Baltimore City,21202,US,Statewide MD
PUBLIC SAFETY TRAINING CENTER,3499 W NORTHERN PKWY  - ENTER ON MANHATTAN AVE,BALTIMORE,MD,21215,7,41,5,27-059,,39.353304,-76.683544,0.9,nearest_rooftop_match,3500,W Northern Pkwy,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
PUBLIC SAFETY TRAINING CENTER,3500 W NORTHERN PKWY  - ENTER ON MANHATTAN AVE,BALTIMORE,MD,21215,7,41,5,27-060,2,39.353304,-76.683544,1,rooftop,3500,W Northern Pkwy,,,Baltimore,MD,Baltimore City,21215,US,City of Baltimore (City of Baltimore)
RAY OF HOPE BAPTIST CHURCH,3000 PARKSIDE DR,BALTIMORE,MD,21214,3,45,3,27-002,1,39.337155,-76.574321,1,rooftop,3000,Parkside Dr,,,Baltimore,MD,Baltimore City,21214,US,City of Baltimore (City of Baltimore)
